Spp	Trait
Tip213	0.809802324
Tip214	0.947244007
Tip215	0.430049171
Tip216	0.079480875
Tip217	0.726141608
Tip218	0.773892617
Tip219	0.603721774
Tip220	0.233182635
Tip221	0.206857315
Tip222	0.810191276
Tip223	0.881105118
Tip224	0.404964649
Tip225	0.370750774
Tip226	0.805123914
Tip227	0.578524845
Tip228	0.991395718
Tip229	0.360760998
Tip230	0.300338562
Tip231	0.402198236
Tip232	0.660888983
Tip233	0.675139321
Tip234	0.911155314
Tip235	0.592313525
Tip236	0.978649238
Tip237	0.191389388
Tip238	0.884189171
Tip239	0.555707029
Tip240	0.385969806
Tip241	0.667416786
Tip242	0.222964824
Tip243	0.635504276
Tip244	0.413748237
Tip245	0.152338573
Tip246	0.45178944
Tip247	0.714690233
Tip248	0.857614331
Tip249	0.984117911
Tip250	0.656895568
Tip251	0.008720154
Tip252	0.373544853
Tip253	0.941080808
Tip254	0.122351555
Tip255	0.949252574
Tip256	0.230725391
Tip257	0.227481263
Tip258	0.05795929
Tip259	0.332763293
Tip260	0.178082558
Tip261	0.819851533
Tip262	0.71415696
Tip263	0.580644883
Tip264	0.879394931
Tip265	0.27331792
Tip266	0.802291951
Tip267	0.090467821
Tip268	0.08156523
Tip269	0.234411915
Tip270	0.423792945
Tip271	0.89770722
Tip272	0.092607601
Tip273	0.292136623
Tip274	0.399341289
Tip275	0.898279372
Tip276	0.604997021
Tip277	0.782365835
Tip278	0.360582462
Tip279	0.138584515
Tip280	0.275282888
Tip281	0.951317791
Tip282	0.673896225
Tip283	0.081266241
Tip284	0.976936959
Tip285	0.348464143
Tip286	0.912679934
Tip287	0.361858765
Tip288	0.82718987
Tip289	0.249188946
Tip290	0.465191492
Tip291	0.254980779
Tip292	0.740284354
Tip293	0.584424552
Tip294	0.306814812
Tip295	0.498773334
Tip296	0.814741652
Tip297	0.543201956
Tip298	0.02354714
Tip299	0.351318993
Tip300	0.620012901
Tip301	0.918146628
Tip302	0.006697553
Tip303	0.858590525
Tip304	0.620238257
Tip305	0.078986911
Tip306	0.572123046
Tip307	0.232422625
Tip308	0.425541455
Tip309	0.603696385
Tip310	0.404046315
Tip311	0.690836624
Tip312	0.411004686
Tip313	0.114652009
Tip314	0.641437537
Tip315	0.270240356
Tip316	0.647686143
Tip317	0.613430653
Tip318	0.413981537
Tip319	0.005362137
Tip320	0.919032776
Tip321	0.021399806
Tip322	0.719830682
Tip323	0.008437627
Tip324	0.563775831
Tip325	0.761296207
Tip326	0.834347393
Tip327	0.071601384
Tip328	0.6497549
Tip329	0.682113523
Tip330	0.416655241
Tip331	0.781026765
Tip332	0.013960744
Tip333	0.097926505
Tip334	0.225042171
Tip335	0.300556704
Tip336	0.077836792
Tip337	0.160420052
Tip338	0.301454042
Tip339	0.824503815
Tip340	0.287187176
Tip341	0.738494035
Tip342	0.221214146
Tip343	0.248247134
Tip344	0.704224141
Tip345	0.623111188
Tip346	0.771671931
Tip347	0.787690533
Tip348	0.977532156
Tip349	0.088561689
Tip350	0.364788062
Tip351	0.028254987
Tip352	0.020911531
Tip353	0.615618532
Tip354	0.199393528
Tip355	0.770773317
Tip356	0.325547408
Tip357	0.308849771
Tip358	0.311798881
Tip359	0.046055636
Tip360	0.255654058
Tip361	0.596204197
Tip362	0.366837922
Tip363	0.988826642
Tip364	0.702460377
Tip365	0.363628337
Tip366	0.23717746
Tip367	0.179028566
Tip368	0.875875011
Tip369	0.903045469
Tip370	0.333477897
Tip371	0.237706472
Tip372	0.021923423
Tip373	0.989279636
Tip374	0.835398201
Tip375	0.062466445
Tip376	0.14872003
Tip377	0.370647563
Tip378	0.75940086
Tip379	0.788759825
Tip380	0.185295529
Tip381	0.649895577
Tip382	0.011916038
Tip383	0.428519919
Tip384	0.937376215
Tip385	0.426561277
Tip386	0.577153783
Tip387	0.626402917
Tip388	0.507339886
Tip389	0.866952377
Tip390	0.178403664
Tip391	0.574739589
Tip392	0.065361773
Tip393	0.946448943
Tip394	0.621078663
Tip395	0.571341589
Tip396	0.593870694
Tip397	0.547371112
Tip398	0.943008885
Tip399	0.053532696
Tip400	0.413976156
